year,state,state_name,county_name,county_fips,tract_fips,location_id,measure_id,measure_key,measure,estimate,ci_lower,ci_upper,total_population,total_adult_population,longitude,latitude
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,CSMOKING,current_smoking,Current cigarette smoking among adults,4.5,3.6,5.6,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,DIABETES,diabetes,Diagnosed diabetes among adults,4.6,4,5.4,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,MHLTH,frequent_mental_distress,Frequent mental distress among adults,10.9,9.5,12.4,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,BPHIGH,high_blood_pressure,High blood pressure among adults,21.3,18.4,24.4,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,ACCESS2,lack_health_insurance,Current lack of health insurance among adults aged 18-64 years,3.1,2.5,3.8,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,OBESITY,obesity,Obesity among adults,17.7,13.6,22.4,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000101,11001000101,LPA,physical_inactivity,No leisure-time physical activity among adults,8,6.2,10,1406,1288,-77.0547765,38.9076994
2023,DC,District of Columbia,District of Columbia,11001,11001000102,11001000102,CSMOKING,current_smoking,Current cigarette smoking among adults,5.1,3.9,6.6,3417,2929,-77.0620045,38.905422
2023,DC,District of Columbia,District of Columbia,11001,11001000102,11001000102,DIABETES,diabetes,Diagnosed diabetes among adults,5.9,5.1,6.9,3417,2929,-77.0620045,38.905422
2023,DC,District of Columbia,District of Columbia,11001,11001000102,11001000102,MHLTH,frequent_mental_distress,Frequent mental distress among adults,10.3,9,11.8,3417,2929,-77.0620045,38.905422
